Marker	TaxonPath	Clade	Level	MarkerLength	AmpliconSize
gi|417931402|ref|NZ_AFUN01000007.1|:c97233-97075	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__GCF_000221145	GCF_000221145	Subspecies	159	126
gi|417932374|ref|NZ_AFUN01000032.1|:143771-144007	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__GCF_000221145	GCF_000221145	Subspecies	237	193
gi|417932959|ref|NZ_AFUN01000038.1|:225703-226005	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__GCF_000221145	GCF_000221145	Subspecies	303	293
gi|417933187|ref|NZ_AFUN01000043.1|:4929-5147	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__GCF_000221145	GCF_000221145	Subspecies	219	195
gi|335050656|ref|NZ_AFIK01000017.1|:c30516-30079	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	Propionibacteriaceae	Family	438	420
gi|335053539|ref|NZ_AFIL01000025.1|:23315-23623	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	Propionibacteriaceae	Family	309	295
gi|335055158|ref|NZ_AFIL01000073.1|:77143-77310	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	Propionibacteriaceae	Family	168	158
gi|342211239|ref|NZ_AFUK01000001.1|:c359834-359544	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	Propionibacteriaceae	Family	291	218
gi|355707189|ref|NZ_JH376566.1|:c170886-169537	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	Propionibacteriaceae	Family	1350	700
gi|552879811|ref|NZ_AXME01000001.1|:c2014536-2014075	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	Propionibacteriaceae	Family	462	357
gi|552891898|ref|NZ_AXMG01000001.1|:c1945194-1944973	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	Propionibacteriaceae	Family	222	211
gi|552896688|ref|NZ_AXMI01000003.1|:c72034-71849	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	Propionibacteriaceae	Family	186	170
gi|552904108|ref|NZ_KI518468.1|:464070-464315	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	Propionibacteriaceae	Family	246	237
gi|295129529|ref|NC_014039.1|:c1439020-1438442	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	579	483
gi|335050281|ref|NZ_AFIK01000001.1|:c2940-1807	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1134	695
gi|335050542|ref|NZ_AFIK01000013.1|:c12739-12119	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	621	590
gi|335050601|ref|NZ_AFIK01000014.1|:3050-3691	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	642	580
gi|335050601|ref|NZ_AFIK01000014.1|:315-1133	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	819	697
gi|335050697|ref|NZ_AFIK01000020.1|:c12439-12299	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	141	80
gi|335050749|ref|NZ_AFIK01000022.1|:c35390-34998	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	393	371
gi|335050796|ref|NZ_AFIK01000023.1|:c3954-3715	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	240	229
gi|335051081|ref|NZ_AFIK01000036.1|:c1716-193	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1524	701
gi|335051327|ref|NZ_AFIK01000049.1|:8242-9012	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	771	714
gi|335051382|ref|NZ_AFIK01000053.1|:c36245-34977	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1269	698
gi|335051382|ref|NZ_AFIK01000053.1|:c47134-46805	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	330	244
gi|335051798|ref|NZ_AFIK01000065.1|:c4330-4001	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	330	316
gi|335052272|ref|NZ_AFIK01000082.1|:c111360-110575	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	786	690
gi|335052413|ref|NZ_AFIK01000085.1|:c27721-27527	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	195	169
gi|335053104|ref|NZ_AFIL01000010.1|:c33862-32210	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1653	703
gi|335053685|ref|NZ_AFIL01000030.1|:c57253-57113	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	141	103
gi|335053685|ref|NZ_AFIL01000030.1|:c58004-57372	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	633	596
gi|335053761|ref|NZ_AFIL01000031.1|:46041-46637	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	597	551
gi|335054110|ref|NZ_AFIL01000040.1|:4048-4263	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	216	184
gi|335054576|ref|NZ_AFIL01000053.1|:7953-8144	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	192	137
gi|335054619|ref|NZ_AFIL01000056.1|:14685-15386	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	702	664
gi|335054657|ref|NZ_AFIL01000058.1|:28786-29034	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	249	188
gi|335054657|ref|NZ_AFIL01000058.1|:c4236-3517	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	720	683
gi|335054695|ref|NZ_AFIL01000059.1|:c28497-27568	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	930	705
gi|335055047|ref|NZ_AFIL01000069.1|:c9632-8838	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	795	681
gi|335055061|ref|NZ_AFIL01000070.1|:3643-4386	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	744	700
gi|342211239|ref|NZ_AFUK01000001.1|:1588290-1589009	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	720	689
gi|342211239|ref|NZ_AFUK01000001.1|:1828645-1829349	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	705	695
gi|342211239|ref|NZ_AFUK01000001.1|:1851240-1852028	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	789	704
gi|342211239|ref|NZ_AFUK01000001.1|:2001142-2001459	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	318	263
gi|342211239|ref|NZ_AFUK01000001.1|:2069064-2069282	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	219	186
gi|342211239|ref|NZ_AFUK01000001.1|:527724-528653	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	930	699
gi|342211239|ref|NZ_AFUK01000001.1|:535213-535428	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	216	160
gi|342211239|ref|NZ_AFUK01000001.1|:593413-594699	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1287	695
gi|342211239|ref|NZ_AFUK01000001.1|:665124-666446	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1323	700
gi|342211239|ref|NZ_AFUK01000001.1|:c1255510-1255055	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	456	442
gi|342211239|ref|NZ_AFUK01000001.1|:c1376325-1376110	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	216	215
gi|342211239|ref|NZ_AFUK01000001.1|:c1579497-1578787	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	711	667
gi|342211239|ref|NZ_AFUK01000001.1|:c1715790-1715233	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	558	515
gi|342211239|ref|NZ_AFUK01000001.1|:c1845075-1844710	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	366	308
gi|342211239|ref|NZ_AFUK01000001.1|:c1936798-1936352	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	447	402
gi|342211239|ref|NZ_AFUK01000001.1|:c395948-395412	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	537	467
gi|355707189|ref|NZ_JH376566.1|:1026577-1027557	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	981	696
gi|355707189|ref|NZ_JH376566.1|:1103467-1104744	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1278	697
gi|355707189|ref|NZ_JH376566.1|:1105369-1105965	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	597	576
gi|355707189|ref|NZ_JH376566.1|:326756-326986	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	231	107
gi|355707189|ref|NZ_JH376566.1|:507019-507612	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	594	543
gi|355707189|ref|NZ_JH376566.1|:882552-883256	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	705	690
gi|355707384|ref|NZ_JH376567.1|:190789-191232	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	444	430
gi|355707384|ref|NZ_JH376567.1|:251291-251998	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	708	669
gi|355707384|ref|NZ_JH376567.1|:592116-592328	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	213	209
gi|355707384|ref|NZ_JH376567.1|:598376-599065	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	690	639
gi|355707384|ref|NZ_JH376567.1|:621102-621467	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	366	360
gi|355707384|ref|NZ_JH376567.1|:90374-91453	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1080	694
gi|355707384|ref|NZ_JH376567.1|:c379886-379035	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	852	721
gi|355707384|ref|NZ_JH376567.1|:c388018-387605	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	414	348
gi|355707384|ref|NZ_JH376567.1|:c400475-400284	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	192	161
gi|355708280|ref|NZ_JH376568.1|:c185858-185226	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	633	576
gi|355708280|ref|NZ_JH376568.1|:c255689-255105	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	585	491
gi|355708440|ref|NZ_JH376569.1|:c80380-79448	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	933	710
gi|365961730|ref|NC_016511.1|:2485446-2486162	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	717	677
gi|386069650|ref|NC_017550.1|:821046-821639	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	594	441
gi|387502364|ref|NC_017535.1|:c1339878-1339075	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	804	675
gi|407934369|ref|NC_018707.1|:c1315368-1314979	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	390	380
gi|417929021|ref|NZ_AFUM01000003.1|:557611-558279	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	669	586
gi|422385765|ref|NZ_GL878448.1|:c80834-80607	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	228	213
gi|422386402|ref|NZ_GL878455.1|:c805995-805537	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	459	413
gi|422386402|ref|NZ_GL878455.1|:c812899-812252	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	648	646
gi|422388755|ref|NZ_GL878472.1|:c178957-178325	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	633	572
gi|422392301|ref|NZ_GL883048.1|:64439-65218	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	780	687
gi|422423570|ref|NZ_GL384259.1|:c300859-299957	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	903	703
